 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
 bangalore|bangalore south(banashankari)|kengeri circle|31168|NAGADEVANAHALLI|Anganwadi|co-ed|kannada|Ring Road, Jnana Bharathi Post, Kengeri Hobli, Bangalore|Nagadevanahalli|560056|Opposite Buttappa Temple|White Colour Building|401 K, 401 M, 500, 501|Brown Colour Door|POINT(77.49159 12.93666)
 bangalore|bangalore south(banashankari)|k gollahalli|31184|MARUTHINAGAR 1|Anganwadi|co-ed|kannada|Ullal Post, Kengeri Hobli South 1|Maruthi Nagar|560056|Near Maruthi Nagar|White Colour Building|223 L, 223 D||POINT(77.48056 12.93866)
 bangalore|bangalore south(banashankari)|doddakannelli|31330|KACHAMARANAHALLI|Anganwadi|co-ed|kannada|Gunjuru Post|Kachamaranahalli|560087|Opposite Kachamaranahalli Bus Stop|G.K.L.P.S Kachamaranahalli In Side|327 F, 342 D|Cream Colour Building|POINT(77.73392 12.91289)
 bangalore|bangalore south(banashankari)|thavare kere|31336|DEVAMACHOHALLI|Anganwadi|co-ed|kannada|Magadi Main Road, Thavarekere Post, Thavarekere Hobli, Bangalore|Devamacho Halli|562130|Near G.K.H.P.S Devamacho Halli and Beside Ashwath Katte|White Colour Building|242E, 242R, 242PA,242Z|Blue Colour Door|POINT(77.38146 12.96904)
 bangalore|bangalore south(banashankari)|thavare kere|31362|LAKSHMIPURA (THAVARE KERE)|Anganwadi|co-ed|kannada|Thavarekere Post, Thavarekere Hobli, Bangalore|Lakshmipura|562130|Near G.K.L.P.S Lakshmipura And Lakshmipura Bus Stop|White Colour Building And Green Colour Door|242U|Sheet Building And Infront Yellow Colour Water Tank|POINT(77.38287 12.98982)
 bangalore|bangalore south(banashankari)|k gollahalli|31371|DODDA BASTHI|Anganwadi|co-ed|kannada|Ullal Upanagar Post, Kengeri Hobli, S-1|Doddabasti|560056|Near Dodda Basti Bus Stop|Green Colour Building|223 G, 225 K, 223 D||POINT(77.47347 12.94048)
 bangalore|bangalore south(banashankari)|k gollahalli|31377|DEVAGERE|Anganwadi|co-ed|kannada|Kumbalgudu Post, Kengeri Hobli, S-1|Devagere|560074|Opposite Devagere Bus Stop|Inside G.K.H.P.S Devagere|228 D, 229 D, 219|White Colour Building|POINT(77.46545 12.85542)
 bangalore|bangalore south(banashankari)|kengeri circle|31391|MARIYAPPANAPALYA 1|Anganwadi|co-ed|kannada|#1, 1st Cross, Ring Road, Bhovi Colony, Jnana Bharathi Post, Kengeri Hobli, Bangalore|Mariyappanapalya|560056|Beside G.K.H.P.S Mariyappanapalya|Green Colour Building & Brown Colour Door|401 K, 401 M, 500, 501|Sheet Building|POINT(77.49483 12.94518)
 bangalore|bangalore south(banashankari)|kengeri circle|31395|KENGERI|Anganwadi|co-ed|kannada|Mysore Road, Kengeri Post, Kengeri Hobli, Bangalore|Kengeri|560060|Compound Inside G.K.M.P.S & G.U.H.P.S Kengeri & Infront Kengeri Bus Stop|Yellow Colour Building|220 D, 221 D, 222, 222 A|Blue Colour Door|POINT(77.48335 12.91076)
 bangalore|bangalore south(banashankari)|k gollahalli|31399|HOSABAIROHALLI|Anganwadi|co-ed|kannada|Sulikere Post, Kengeri Hobli, S-1|Bairohalli|560060|Near Hosabairohalli Bus Stop|Cream Colour Building|221 M, 221 F||POINT(77.45597 12.9199)
